name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
Education Lecture Hall,13,28822160.0,,yes,,,"POLYGON ((-111.9377305 33.4178018, -111.9379793 33.4178001, -111.9379814 33.41802, -111.9379251 33.4180204, -111.9379256 33.4180781, -111.93779 33.418079, -111.9377895 33.4180221, -111.9377326 33.4180225, -111.9377305 33.4178018))",POINT (-111.9378561 33.4179283),644.0,6931.7,12
Payne Hall,14,28822195.0,,yes,,,"POLYGON ((-111.936783 33.4190167, -111.936781 33.4187533, -111.937133 33.4187515, -111.937255 33.4187508, -111.937301 33.4187506, -111.937727 33.4187484, -111.937729 33.4190118, -111.936783 33.4190167))",POINT (-111.937255 33.4188826),2567.1,27631.7,12
Music Building,15,28822215.0,,yes,,,"POLYGON ((-111.9385088 33.4177674, -111.9395307 33.4177707, -111.9395306 33.4177949, -111.9395074 33.4177956, -111.9395075 33.4178457, -111.9395377 33.4178453, -111.9395427 33.4179745, -111.9395419 33.4183216, -111.9393926 33.4183214, -111.9390883 33.4183208, -111.9390888 33.4181414, -111.9389661 33.4181412, -111.9389406 33.4181975, -111.9388633 33.4182549, -111.9387929 33.4182716, -111.9387678 33.4182775, -111.9387301 33.4182768, -111.9387319 33.4183587, -111.9386227 33.4183597, -111.9384325 33.418199, -111.9384324 33.4181104, -111.938521 33.4181101, -111.9385265 33.4180901, -111.9385419 33.4180244, -111.9385898 33.4179589, -111.9386624 33.417917, -111.9387224 33.4178986, -111.938818 33.4179028, -111.9388867 33.4179305, -111.9389294 33.4179612, -111.9389735 33.4180185, -111.9390288 33.4180186, -111.9390819 33.4180186, -111.9390823 33.41786, -111.9385086 33.417859, -111.9385088 33.4177674))",POINT (-111.9390415 33.4180478),4980.7,53612.2,12
Ceramics Research Center,16,28822286.0,,yes,,,"POLYGON ((-111.9396232 33.4195228, -111.9396205 33.419312, -111.9392006 33.4193158, -111.9392033 33.4195266, -111.9396232 33.4195228))",POINT (-111.9394119 33.4194193),910.7,9803.1,11
10th St. Parking Structure,17,28822327.0,,parking,,,"POLYGON ((-111.9376005 33.4197408, -111.9376036 33.4206648, -111.9379449 33.420664, -111.937942 33.41974, -111.9376005 33.4197408))",POINT (-111.9377727 33.4202024),3246.1,34940.8,12
Stauffer Comm.,18,28822362.0,,yes,,,"POLYGON ((-111.9367272 33.4197035, -111.9369763 33.4197014, -111.9369764 33.4197152, -111.9370373 33.4197147, -111.9370363 33.4196388, -111.9375131 33.4196345, -111.9375182 33.4200359, -111.9370475 33.42004, -111.9370473 33.4200239, -111.9369784 33.4200245, -111.9369788 33.420063, -111.9367317 33.4200652, -111.9367272 33.4197035))",POINT (-111.9371335 33.419853),3094.1,33304.8,12
Neeb Hall,19,28822368.0,,yes,,,"POLYGON ((-111.9368244 33.4201871, -111.9369771 33.4201864, -111.9370356 33.4202945, -111.9370399 33.4204194, -111.9370134 33.42043, -111.9370052 33.4204482, -111.9369371 33.4204528, -111.9369314 33.4204337, -111.9368785 33.4204352, -111.9368698 33.4204524, -111.9367991 33.4204534, -111.936792 33.4204342, -111.936766 33.4204272, -111.9367669 33.4203073, -111.9368244 33.4201871))",POINT (-111.9369019 33.420325),645.9,6951.9,12
Art Building,20,28822379.0,,yes,,,"POLYGON ((-111.9371399 33.420346, -111.9375358 33.4203457, -111.9375359 33.420444, -111.9375165 33.420444, -111.9375165 33.4205087, -111.9375397 33.4205087, -111.9375398 33.4206628, -111.9371416 33.4206629, -111.9371416 33.4205211, -111.9371574 33.4205211, -111.9371573 33.4204507, -111.93714 33.4204507, -111.9371399 33.420346))",POINT (-111.9373392 33.420505),1271.6,13687.8,12
Art Warehouse,21,28822381.0,,yes,,,"POLYGON ((-111.9376052 33.420781, -111.9376185 33.4207809, -111.9376181 33.4207235, -111.9380096 33.4207215, -111.9380128 33.4211554, -111.9376204 33.4211574, -111.9376198 33.421069, -111.9378842 33.4210677, -111.9378827 33.4208505, -111.9376057 33.4208519, -111.9376052 33.420781))",POINT (-111.9378458 33.4209283),1171.0,12604.3,12
Tower Center,22,28822436.0,,yes,,,"POLYGON ((-111.9377119 33.4213923, -111.937545 33.4213932, -111.9375446 33.4213522, -111.9374846 33.4213526, -111.937485 33.4213978, -111.9374464 33.4213981, -111.9374495 33.4217929, -111.9376228 33.4217919, -111.9376202 33.4214738, -111.9377126 33.4214733, -111.9377119 33.4213923))",POINT (-111.9375465 33.4215713),814.0,8761.4,12
Tower Center,23,28822439.0,,yes,,,"POLYGON ((-111.9376835 33.4215112, -111.9379942 33.4215092, -111.937996 33.4217, -111.9379482 33.4217003, -111.9379484 33.4217236, -111.9379142 33.4217238, -111.9379148 33.4217938, -111.9377826 33.4217946, -111.9377807 33.421577, -111.9376841 33.4215776, -111.9376835 33.4215112))",POINT (-111.9378639 33.4216292),623.9,6715.4,12
College of Design North,24,28822451.0,,yes,,,"POLYGON ((-111.9367838 33.4213182, -111.9373213 33.4213174, -111.9373215 33.4214104, -111.9373669 33.4214103, -111.9373677 33.4217513, -111.9367847 33.4217522, -111.9367838 33.4213182))",POINT (-111.9370712 33.4215377),2566.0,27619.7,12
College of Design South,25,28822457.0,,yes,,,"POLYGON ((-111.9368215 33.4211494, -111.9368214 33.421128, -111.936779 33.4211283, -111.9367774 33.4208963, -111.9374017 33.4208933, -111.9374033 33.4211223, -111.9373641 33.4211225, -111.9373642 33.4211467, -111.9368215 33.4211494))",POINT (-111.9370903 33.4210201),1609.4,17323.6,12
,26,28822538.0,,yes,,,"POLYGON ((-111.9417329 33.4124705, -111.9420807 33.4127464, -111.9420482 33.4127765, -111.9420812 33.4128045, -111.9420545 33.4128267, -111.9422783 33.4130122, -111.9420799 33.4131782, -111.9418205 33.4129641, -111.9418597 33.4129318, -111.9418299 33.4129109, -111.9418188 33.4129032, -111.9418445 33.4128789, -111.9418098 33.4128494, -111.9415475 33.4126266, -111.9417329 33.4124705))",POINT (-111.9419177 33.412822),2036.0,21915.3,21
,27,28822558.0,,hospital,,,"POLYGON ((-111.9408683 33.4128269, -111.9406262 33.4128267, -111.9404386 33.4128254, -111.9404421 33.4127781, -111.9403805 33.4127756, -111.9403785 33.4127048, -111.940278 33.4127026, -111.9402787 33.4125626, -111.9402234 33.4125599, -111.9402332 33.4124654, -111.9403754 33.4124626, -111.9403771 33.4124414, -111.9402569 33.4124414, -111.9402586 33.4122024, -111.9402236 33.4121953, -111.9401968 33.4121657, -111.940195 33.4121213, -111.9402223 33.4120917, -111.9402598 33.4120834, -111.9402598 33.4117177, -111.9402683 33.4117165, -111.9402659 33.4116598, -111.9404332 33.4116599, -111.9404308 33.4117154, -111.9404159 33.4117161, -111.9404139 33.4117673, -111.9406328 33.4117665, -111.9406326 33.4117509, -111.9407282 33.4117513, -111.9407271 33.4119234, -111.940839 33.4119255, -111.9408376 33.4119556, -111.940854 33.4119567, -111.9408498 33.4121119, -111.9407957 33.4121112, -111.9407857 33.4124014, -111.9408163 33.4124024, -111.9408195 33.412342, -111.940921 33.4123412, -111.9409278 33.4122201, -111.9414903 33.4122197, -111.9414883 33.412398, -111.941719 33.4124018, -111.9417224 33.412327, -111.9420216 33.4123303, -111.942025 33.4124406, -111.9414157 33.4124364, -111.9414182 33.412564, -111.9408059 33.412572, -111.9408059 33.4126052, -111.9408058 33.4127254, -111.9408679 33.4127259, -111.9408684 33.4127761, -111.9408683 33.4128269))",POINT (-111.9407547 33.4123099),8627.1,92861.0,21
Graduate Tempe,28,28822616.0,,yes,,,"POLYGON ((-111.9366464 33.4142282, -111.9366456 33.4143904, -111.9364583 33.4143909, -111.9364587 33.4143053, -111.9361595 33.4143093, -111.9361636 33.4144543, -111.9358121 33.4144581, -111.9358108 33.4142699, -111.935863 33.4142688, -111.93586 33.4141249, -111.9364445 33.4141199, -111.9364455 33.4142311, -111.9366464 33.4142282))",POINT (-111.9361695 33.4142758),1991.6,21437.8,17
Memorial Union,29,28822637.0,,community_centre,,,"POLYGON ((-111.9339228 33.4172055, -111.9347888 33.4172055, -111.9347888 33.4175422, -111.9347208 33.4175422, -111.9347208 33.4175923, -111.9347888 33.4175923, -111.9347888 33.4178431, -111.9346608 33.4178431, -111.9346608 33.4180222, -111.9347978 33.4180222, -111.9347978 33.4182085, -111.9346518 33.4182085, -111.9346518 33.4181655, -111.9344548 33.4181655, -111.9344548 33.4182085, -111.9342308 33.4182085, -111.9342308 33.4181726, -111.9339738 33.4181726, -111.9339738 33.4176067, -111.9339228 33.4176067, -111.9339228 33.4172055))",POINT (-111.9343609 33.4176835),8198.8,88251.3,17
Hayden Library,30,28822655.0,,yes,,,"POLYGON ((-111.9342793 33.4185763, -111.9348754 33.418575, -111.9348781 33.4194702, -111.9342821 33.4194714, -111.9342793 33.4185763))",POINT (-111.9345787 33.4190232),5498.5,59185.3,12
Hayden Library Entrance,31,28822657.0,,library,,,"POLYGON ((-111.9351384 33.4187355, -111.9354302 33.4187355, -111.9354302 33.4189791, -111.9353279 33.4189803, -111.9353216 33.4189945, -111.9353091 33.4190082, -111.9352956 33.4190153, -111.9352812 33.4190156, -111.9352666 33.4190148, -111.9352443 33.4190031, -111.9352349 33.4189938, -111.9352303 33.4189795, -111.9351384 33.4189791, -111.9351384 33.4187355))",POINT (-111.9352842 33.4188625),760.0,8181.0,12
Danforth Chapel,32,28822660.0,,yes,,,"POLYGON ((-111.9353821 33.4185737, -111.9353821 33.4184734, -111.9352448 33.4184734, -111.9352448 33.4185737, -111.9353821 33.4185737))",POINT (-111.9353134 33.4185236),141.0,1517.4,12
Wilson Hall,33,28822669.0,,yes,,,"POLYGON ((-111.9363981 33.41845, -111.9355039 33.4184584, -111.9355039 33.4185818, -111.9359599 33.4185767, -111.9359568 33.4186204, -111.9364159 33.4186127, -111.9363981 33.41845))",POINT (-111.9359876 33.4185275),1336.5,14386.0,12
West Hall,34,28822716.0,,yes,,,"POLYGON ((-111.9360706 33.4194131, -111.9357703 33.4194131, -111.9356415 33.4194131, -111.9356415 33.419363, -111.9357496 33.419363, -111.9357874 33.419363, -111.9357883 33.4191785, -111.9357466 33.4191801, -111.9357411 33.4190404, -111.9357892 33.4190404, -111.9357874 33.4188758, -111.9357422 33.4188758, -111.9356844 33.4188758, -111.9356844 33.4188598, -111.9356844 33.4188113, -111.9360706 33.4188113, -111.9360697 33.4188832, -111.9359901 33.4188834, -111.935987 33.4189019, -111.9359115 33.418902, -111.9359106 33.4190438, -111.9359783 33.4190423, -111.9359819 33.4191736, -111.9359106 33.4191728, -111.9359124 33.4193159, -111.9359925 33.419314, -111.935992 33.4193344, -111.9360678 33.4193338, -111.9360706 33.4194131))",POINT (-111.9358671 33.4191156),1342.4,14449.4,12
Dixie Gammage Hall,35,28822719.0,,yes,,,"POLYGON ((-111.9360706 33.4188113, -111.9363796 33.4188113, -111.9363796 33.4194131, -111.9360706 33.4194131, -111.9360678 33.4193338, -111.936272 33.4193327, -111.9362711 33.4191441, -111.9361681 33.4191441, -111.9361681 33.4190796, -111.9362711 33.4190796, -111.9362711 33.418879, -111.9360697 33.4188832, -111.9360706 33.4188113))",POINT (-111.9362726 33.4191167),1052.2,11325.9,12
Matthews Hall,36,28822867.0,,yes,,,"POLYGON ((-111.9358648 33.4200648, -111.9360193 33.4200648, -111.9360193 33.4200218, -111.9362424 33.4200218, -111.9362424 33.4200648, -111.9364141 33.4200648, -111.9364141 33.420165, -111.9362424 33.420165, -111.9362424 33.4202224, -111.9360193 33.4202224, -111.9360193 33.420165, -111.9358648 33.420165, -111.9358648 33.4200648))",POINT (-111.936137 33.4201191),797.0,8578.6,12
A J Matthews Center,37,28822889.0,,yes,,,"POLYGON ((-111.9357156 33.4197326, -111.9354663 33.4197312, -111.9354666 33.4196889, -111.9352783 33.4196879, -111.935275 33.4201042, -111.9352743 33.4201898, -111.935712 33.4201922, -111.9357156 33.4197326))",POINT (-111.9354903 33.4199516),2153.2,23177.2,12
Lyceum Theatre,38,28822944.0,,yes,,,"POLYGON ((-111.936302 33.4203349, -111.9364816 33.420334, -111.9364836 33.4206079, -111.9364989 33.4206079, -111.9364996 33.4207035, -111.9364883 33.4207036, -111.9364888 33.4207591, -111.9363336 33.4207599, -111.9363332 33.4207022, -111.9363205 33.4207022, -111.9363198 33.4206081, -111.9363317 33.4206081, -111.9363309 33.4204894, -111.9363031 33.4204895, -111.936302 33.4203349))",POINT (-111.9364025 33.4205433),737.5,7937.9,12
Center for Family Studies,39,28822952.0,,yes,,,"POLYGON ((-111.9361172 33.4208705, -111.9363345 33.4208698, -111.9363345 33.4208775, -111.9363979 33.4208774, -111.9363986 33.4210438, -111.9364539 33.4210437, -111.9364544 33.421174, -111.9363591 33.4211743, -111.9363592 33.4211844, -111.9362212 33.4211848, -111.936221 33.4211248, -111.936354 33.4211244, -111.9363535 33.4210182, -111.9361178 33.4210189, -111.9361172 33.4208705))",POINT (-111.9362931 33.421007),653.8,7037.6,12
Fulton Center,40,28822961.0,,yes,,,"POLYGON ((-111.9348615 33.4224732, -111.9340743 33.4224802, -111.9340691 33.4220657, -111.9348562 33.4220588, -111.9348615 33.4224732))",POINT (-111.9344653 33.4222695),3361.6,36183.7,12
Schwada Classroom Building,41,28866501.0,,yes,,,"POLYGON ((-111.9309023 33.4195017, -111.9305034 33.4195076, -111.9305025 33.419468, -111.9305009 33.4193917, -111.9305264 33.4193913, -111.9305253 33.419337, -111.9304662 33.4193379, -111.9304651 33.419286, -111.9302901 33.4192885, -111.9302857 33.4190784, -111.9302787 33.418738, -111.9303455 33.418737, -111.930345 33.4187127, -111.9305011 33.4187104, -111.930499 33.4186108, -111.930887 33.4186052, -111.9308938 33.4189335, -111.9308083 33.4189347, -111.9308091 33.4189711, -111.9308111 33.419067, -111.9307774 33.4190675, -111.9307786 33.4191226, -111.9308086 33.4191222, -111.9308105 33.4192112, -111.9308961 33.4192099, -111.9309023 33.4195017))",POINT (-111.9306061 33.419042),4653.7,50092.4,13
Interdisciplinary Sci. & Tech. 1,42,28866562.0,,yes,,,"POLYGON ((-111.9316499 33.4192556, -111.9316482 33.4190775, -111.9316038 33.4190797, -111.9316052 33.4190443, -111.9316486 33.419044, -111.9316465 33.4185236, -111.9316032 33.4185245, -111.931603 33.4185325, -111.9315923 33.4185326, -111.9315923 33.4184534, -111.9314226 33.4184584, -111.9314252 33.4191027, -111.9313451 33.4191034, -111.9313384 33.4190772, -111.93136 33.4190713, -111.9312621 33.4187021, -111.9311495 33.4188817, -111.931183 33.4190086, -111.9311624 33.419152, -111.9312124 33.4192712, -111.9312669 33.4192569, -111.9312595 33.4192354, -111.9313244 33.419212, -111.9313247 33.4192582, -111.9316499 33.4192556))",POINT (-111.9314457 33.4189223),2691.0,28965.8,12
Parking Lot 27,43,28866684.0,,parking,,,"POLYGON ((-111.9315037 33.4182354, -111.9314952 33.417519, -111.9312892 33.417519, -111.9312892 33.4182354, -111.9315037 33.4182354))",POINT (-111.9313943 33.4178796),1556.2,16751.2,18
Psychology North,44,28866724.0,,yes,,,"POLYGON ((-111.9299238 33.4207779, -111.9299222 33.4205039, -111.929904 33.420504, -111.9292045 33.4205068, -111.9292061 33.4207809, -111.929733 33.4207787, -111.9299238 33.4207779))",POINT (-111.9295641 33.4206424),2030.2,21852.5,13
Interdisciplinary Sci. & Tech. 2,45,28866736.0,,yes,,,"POLYGON ((-111.9300719 33.4211857, -111.9300725 33.4210728, -111.9300224 33.4210726, -111.9300227 33.4209997, -111.9300704 33.4209999, -111.9300709 33.4208939, -111.9297381 33.4208928, -111.9291229 33.4208907, -111.9291223 33.421004, -111.9291785 33.4210042, -111.9291782 33.4210631, -111.9291174 33.4210628, -111.9291168 33.4211824, -111.9300719 33.4211857))",POINT (-111.9295954 33.4210385),2787.6,30006.0,13
Physical Education West,46,28878211.0,,yes,,,"POLYGON ((-111.9329556 33.4174089, -111.9331533 33.417405, -111.933157 33.4174982, -111.9332067 33.4174977, -111.9332068 33.4175083, -111.9332922 33.4175076, -111.9332934 33.4176072, -111.9333079 33.417607, -111.9333132 33.4180567, -111.9334108 33.4180559, -111.9334125 33.4181998, -111.9332552 33.4182011, -111.9332555 33.4182252, -111.9328647 33.4182285, -111.9328643 33.4181943, -111.9328114 33.4181948, -111.9328039 33.4176075, -111.932816 33.4176074, -111.9328148 33.4175118, -111.9329568 33.4175105, -111.9329556 33.4174089))",POINT (-111.9330701 33.4178548),4027.0,43345.9,17
Computing Commons,47,28878239.0,,yes,,,"POLYGON ((-111.9321589 33.4175127, -111.932295 33.4175121, -111.9324759 33.4175116, -111.9325744 33.4175099, -111.9326214 33.4175093, -111.932632 33.4181708, -111.9324888 33.4181735, -111.9324909 33.4181314, -111.9323079 33.4181357, -111.9323065 33.4181739, -111.9321668 33.418174, -111.9321589 33.4175127))",POINT (-111.9323947 33.4178351),3091.3,33274.5,17
ASU Bookstore,48,28878276.0,,yes,,,"POLYGON ((-111.9321301 33.4181447, -111.9321175 33.4174144, -111.9318305 33.4174179, -111.9318319 33.4174974, -111.9316216 33.4174999, -111.9316221 33.4175327, -111.931577 33.4175332, -111.9315778 33.4175802, -111.9316007 33.41758, -111.9316017 33.417635, -111.9315602 33.4176355, -111.9315694 33.4181385, -111.9316771 33.4181371, -111.9316773 33.4181504, -111.93195 33.418147, -111.9319506 33.4181797, -111.9320094 33.418179, -111.9320088 33.4181462, -111.9321301 33.4181447))",POINT (-111.9318569 33.4178049),3947.4,42489.8,17
Physical Education East,49,28878299.0,,yes,,,"POLYGON ((-111.9303417 33.4175043, -111.9312326 33.4174972, -111.931237 33.4180241, -111.9312036 33.4180247, -111.9312047 33.4181777, -111.9311474 33.4181785, -111.931146 33.4181917, -111.93084 33.418194, -111.9308368 33.4181804, -111.9308134 33.4181814, -111.9308109 33.4181423, -111.9307245 33.4181406, -111.9307256 33.4182229, -111.9303525 33.4182235, -111.9303417 33.4175043))",POINT (-111.9307829 33.4178478),6341.7,68261.3,18
Ross-Blakley Hall,50,28878390.0,,library,,,"POLYGON ((-111.9300374 33.4169058, -111.9298518 33.4169053, -111.9298548 33.4169229, -111.9298091 33.416921, -111.929815 33.4168625, -111.9296283 33.4168607, -111.9296223 33.4168789, -111.9295805 33.416897, -111.9295407 33.4169308, -111.9295331 33.4169232, -111.9295424 33.4168997, -111.9293725 33.4168249, -111.929321 33.4168965, -111.9292867 33.4169968, -111.929261 33.4171473, -111.929275 33.4172958, -111.929317 33.4172416, -111.929512 33.4172403, -111.9295145 33.4171877, -111.9295552 33.4172151, -111.9295552 33.4172857, -111.9296568 33.4173056, -111.929727 33.4173229, -111.9297972 33.4173449, -111.929858 33.4173714, -111.929864 33.4174286, -111.9300394 33.4174278, -111.9300374 33.4169058))",POINT (-111.9296868 33.4171067),3397.8,36574.0,18
Armstrong Hall,51,28878404.0,,yes,,,"POLYGON ((-111.9290593 33.4181001, -111.929158 33.4178494, -111.929139 33.4177492, -111.9291163 33.4177516, -111.9291137 33.4177315, -111.929101 33.4177317, -111.9290515 33.4175029, -111.9292393 33.4174763, -111.9292515 33.4175367, -111.9292445 33.4175381, -111.9292643 33.4176134, -111.9292841 33.4176103, -111.9292998 33.4175814, -111.929321 33.4175556, -111.9293725 33.4175198, -111.9294326 33.4174912, -111.9294755 33.4174912, -111.9295442 33.4175055, -111.9295871 33.4175556, -111.9296204 33.4175413, -111.9296368 33.4174747, -111.9298204 33.4174978, -111.9297709 33.4177583, -111.9297384 33.4177881, -111.9297333 33.4178509, -111.9298325 33.4180918, -111.9297153 33.4181288, -111.9296846 33.4180711, -111.929639 33.4180849, -111.9295896 33.4180863, -111.9295838 33.4181247, -111.9295678 33.4181531, -111.929548 33.4181721, -111.929496 33.4181991, -111.9294415 33.4182087, -111.9293892 33.4181983, -111.9293429 33.4181734, -111.9293066 33.418126, -111.9292973 33.4180848, -111.9292501 33.4180863, -111.9292006 33.4180734, -111.9291722 33.4181358, -111.9290593 33.4181001))",POINT (-111.9294442 33.4178196),4373.6,47076.7,18
Rural Road Parking Structure,52,28878477.0,,parking,,,"POLYGON ((-111.9278358 33.418369, -111.9278326 33.4179265, -111.927828 33.4169642, -111.9274073 33.4169628, -111.927191 33.4169621, -111.9268074 33.4169608, -111.9268088 33.4170101, -111.9266223 33.417009, -111.9266269 33.4178217, -111.926625 33.4179311, -111.9266264 33.4183679, -111.9271923 33.4183695, -111.9273595 33.41837, -111.9276734 33.4183693, -111.9277261 33.4183692, -111.9278358 33.418369))",POINT (-111.9272308 33.4176697),17402.4,187317.9,18
Tempe High School,53,28902831.0,,school,,,"POLYGON ((-111.9430094 33.4127313, -111.9434463 33.4127371, -111.9434528 33.411805, -111.9434831 33.407462, -111.9430864 33.4074647, -111.9411581 33.4074903, -111.9400223 33.4074871, -111.939963 33.4075247, -111.9399617 33.4076028, -111.9399969 33.4102896, -111.9400268 33.4108924, -111.940351 33.4109711, -111.9406937 33.4110844, -111.9410892 33.4112283, -111.9415997 33.4114875, -111.9420275 33.4117716, -111.9423701 33.4120518, -111.9426529 33.4123033, -111.9428392 33.4125394, -111.9430094 33.4127313))",POINT (-111.9418736 33.4096329),0.0,1633875.5,21
