name,node_id,osm_node_id,highway,level_crossing,access,description,x_coord,y_coord
,73,2300341682,,,,,-111.9435449,33.4086123
,74,2300341687,,,,,-111.9435464,33.409968
,75,2300341690,,,,,-111.9383792,33.4108964
,76,2300341691,,,,,-111.9371934,33.4109063
,77,2300341692,,,,,-111.9326971,33.4109212
,78,2300341693,,,,,-111.9394341,33.4109361
,79,2300341694,,,,,-111.9284445,33.410946
,80,2300341701,,,,,-111.9435553,33.4129733
,81,2300341702,,,,,-111.9435539,33.4132263
,82,2300341703,,,,,-111.9431497,33.4132747
,83,2300341705,,,,,-111.9433592,33.4137646
,84,2300341706,,,,,-111.9434306,33.4140312
,85,2300341708,,,,,-111.9435546,33.4142274
,86,2300341709,,,,,-111.9434762,33.4142412
,87,2300341712,,,,,-111.9435643,33.4144995
,88,2300341740,level_crossing,,,,-111.9435395,33.4147236
,89,2300341760,,,,,-111.9435449,33.4148084
,90,2300341811,,,,,-111.9435524,33.4149987
,91,2300341816,,,,,-111.9435984,33.4150074
,92,2300341818,,,,,-111.943594,33.4153683
,93,2300341819,,,,,-111.9435547,33.4153686
,94,2300341821,,,,,-111.9435562,33.4156871
,95,2300341852,switch,,,,-111.9435725,33.422456
,96,2300341853,,,,,-111.943572,33.4227737
,97,2300341854,,,,,-111.9436107,33.4227848
,98,2300341855,,,,,-111.9435696,33.422972
,99,2300341856,,,,,-111.9436215,33.422972
,100,2300341857,,,,,-111.9435699,33.4233928
,101,2300341858,,,,,-111.9436229,33.4234069
,102,2300341859,,,,,-111.9436242,33.4241135
,103,2300341860,,,,,-111.9436204,33.4247591
,104,2300341861,,,,,-111.9435783,33.4247731
,105,2300341863,level_crossing,,,,-111.9436145,33.4254447
,106,2300341867,,,,,-111.9436236,33.4269478
,107,2300341868,,,,,-111.9436248,33.4282005
,108,2300341869,,,,,-111.9435808,33.4282034
,109,2300341870,,,,,-111.9436229,33.4284579
,110,2300341871,,,,,-111.943606,33.4286173
,111,2671959148,,,,,-111.9269758,33.420725
,112,3458373526,,,,,-111.9224933,33.4109709
,113,3721846227,crossing,,,,-111.9435278,33.4001155
,114,3847453687,level_crossing,,,,-111.9435652,33.4189718
