agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry
12,4991,2074,1,7,4991,3155,10816,2074;2068;176;2356;2065;2353;2063;191;2060;779;126;275;398;403;407;822;690;3842;279;50;3844;280;233;3236;3;3152;3156;3154;3155;4991;,"LINESTRING (-111.9349706 33.4226097, -111.9349741 33.4231487, -111.9349761 33.4232093, -111.9349907 33.423297, -111.93499 33.4233768, -111.9349897 33.423492, -111.9349826 33.4242604, -111.9349809 33.4243346, -111.9349808 33.4243956, -111.9349717 33.4252787, -111.9349278 33.4254396, -111.9347997 33.4254989, -111.9366206 33.4263351, -111.9389329 33.427278, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9443731 33.4299049, -111.9445208 33.4300704, -111.9446671 33.42992599999999)"
13,4994,1364,1,8,4994,3233,10822,1364;1365;718;1068;5247;1069;0;1342;25;4118;3258;391;276;277;1215;818;806;275;398;403;407;822;690;3842;279;50;3844;280;233;3236;3235;3233;4994;,"LINESTRING (-111.9230954 33.4240422, -111.9245266 33.4238303, -111.9259069 33.4244988, -111.926132 33.4245014, -111.9263026 33.4245036, -111.926471 33.424506, -111.9275146 33.4245016, -111.9282474 33.4244664, -111.9290798 33.4242989, -111.9299243 33.4240186, -111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9305248 33.42320460000001, -111.932072 33.4240375, -111.9336431 33.4249755, -111.9346809 33.4253945, -111.9347997 33.4254989, -111.9366206 33.4263351, -111.9389329 33.427278, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9439325190184 33.42830657315629)"
14,3776,1950,1,8,3776,3777,492,1950;1957;1949;718;1068;5247;1069;0;1342;25;4118;3258;391;276;277;1215;818;806;275;398;403;407;822;690;3842;279;50;3844;280;233;3236;3;3153;4;1285;2782;2780;69;3776;,"LINESTRING (-111.9235675 33.4263043, -111.9238558 33.4260239, -111.9238414 33.4251157, -111.9259069 33.4244988, -111.926132 33.4245014, -111.9263026 33.4245036, -111.926471 33.424506, -111.9275146 33.4245016, -111.9282474 33.4244664, -111.9290798 33.4242989, -111.9299243 33.4240186, -111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9305248 33.42320460000001, -111.932072 33.4240375, -111.9336431 33.4249755, -111.9346809 33.4253945, -111.9347997 33.4254989, -111.9366206 33.4263351, -111.9389329 33.427278, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9457797 33.4287142)"
16,3148,5094,1,10,3148,105,2328,5094;3387;3386;3389;3281;3616;940;941;942;943;963;946;957;958;934;869;868;924;2797;2798;2799;4027;2197;2230;2229;2228;2227;3178;2226;1969;778;777;1968;3847;3849;4119;4120;4118;3258;391;276;277;1215;818;806;275;398;403;407;822;690;3842;3900;105;3148;,"LINESTRING (-111.9085994750235 33.42339519244669, -111.9087635 33.4233839, -111.9090814 33.4233839, -111.9090767 33.423861, -111.9090754 33.4239993, -111.9090737 33.4241687, -111.9117929 33.4242758, -111.9124546 33.42428080000001, -111.9131147 33.424285, -111.9147151 33.4243939, -111.914743 33.4247627, -111.9156154 33.4248834, -111.9155811 33.4270916, -111.9172314 33.4274175, -111.9170914 33.4237413, -111.9176682 33.4237215, -111.9176593 33.4232191, -111.9176562 33.4229467, -111.9176548 33.4228884, -111.9181761 33.4228889, -111.919259 33.422888, -111.9192561 33.4227065, -111.9192785 33.4223222, -111.9192817 33.4221387, -111.9207222 33.4221443, -111.9208196 33.4221476, -111.9228965 33.422132, -111.9238415 33.4221395, -111.9245933 33.4221454, -111.9261162 33.422183, -111.9262405 33.4221644, -111.926408 33.4221502, -111.9264897 33.4221498, -111.9264642 33.4233419, -111.9275107 33.4233377, -111.9287706 33.4236406, -111.9298852 33.4239543, -111.9299243 33.4240186, -111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9305248 33.42320460000001, -111.932072 33.4240375, -111.9336431 33.4249755, -111.9346809 33.4253945, -111.9347997 33.4254989, -111.9366206 33.4263351, -111.9389329 33.427278, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.939984 33.4273851, -111.9400679 33.4273849, -111.941512 33.42737750000001)"
17,3154,322,1,11,3154,4981,10797,322;159;9;323;3531;8;1126;183;580;232;3772;366;233;3236;3;3152;3156;3154;,"LINESTRING (-111.9457706 33.4210818, -111.9457723 33.42064, -111.9442498 33.420638, -111.9442507 33.4213791, -111.9442462 33.4217045, -111.9442661 33.4218936, -111.9439222 33.4218959, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9443731 33.4299049)"
18,4,3798,1,11,4,3237,2915,3798;4067;3913;4125;3914;3915;3918;3976;3921;232;3772;366;233;3236;3235;3233;3231;3237;4;,"LINESTRING (-111.9412418 33.4212879, -111.9414796 33.4212946, -111.9417691 33.4219008, -111.942143 33.4218992, -111.9423681 33.4219283, -111.9423888 33.4219395, -111.94256 33.4230382, -111.9432139 33.4240614, -111.9434356 33.42545689999999, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475, -111.9443252 33.4291446)"
19,5063,1076,1,11,5063,3786,10960,1076;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;2781;2784;3284;3159;3158;3783;3784;3785;3786;5063;,"LINESTRING (-111.9437063 33.4189336, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9452165 33.4294497, -111.9453641 33.4305477, -111.9451318 33.4305537, -111.9452441 33.4307647, -111.9461677 33.4307281, -111.9461665 33.4306462, -111.9461674 33.4304246, -111.946166 33.430348, -111.9458578283399 33.43031172686725)"
21,4302,1467,1,12,4302,3800,8736,1467;2289;1505;1538;1502;3123;3863;3864;3860;5251;660;1316;1315;662;5250;661;524;5257;523;522;5262;3891;108;3883;1110;107;1268;856;1313;1314;1292;48;3921;232;581;5;3457;3227;864;863;3971;2765;4136;3800;4302;,"LINESTRING (-111.9317273 33.4218424, -111.9322727 33.42183789999999, -111.9326233 33.4218355, -111.9328132 33.4218355, -111.9331704 33.421823, -111.9332217 33.4218228, -111.9332203 33.4219303, -111.9339885 33.4219235, -111.9348817 33.4219166, -111.9349692 33.4219591, -111.9350652 33.421917, -111.9356492 33.42191010000001, -111.9358451 33.4219117, -111.936563 33.4219081, -111.9366617 33.4219501, -111.936756 33.4219096, -111.93806 33.4218977, -111.9381457 33.4219425, -111.938246 33.4218977, -111.9398538 33.4218932, -111.9398951 33.4219382, -111.939939 33.4219028, -111.9400803 33.4219289, -111.940079 33.42197849999999, -111.9400741 33.4225274, -111.9400687 33.4231956, -111.9414688 33.4238299, -111.9412691 33.4243385, -111.942677 33.4242646, -111.9432183 33.4242317, -111.9433507 33.4249452, -111.943347 33.4254811, -111.9434356 33.42545689999999, -111.9435715 33.4254464, -111.9436145 33.4254447, -111.9442882 33.4254677, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9442762 33.426894, -111.9457728 33.4264284, -111.945772 33.4267672, -111.945772 33.4271033, -111.9457715 33.4272852, -111.9457714 33.4274554, -111.9469 33.42746330000001)"
22,2791,614,1,12,2791,5073,10981,614;613;1736;2559;2558;2557;2556;2560;2497;522;5262;3891;108;3883;1110;107;1268;856;1313;1314;1292;48;3921;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;,"LINESTRING (-111.9359643 33.4212277, -111.9365335 33.4212272, -111.9365632 33.4218478, -111.936661 33.4218453, -111.9367585 33.421851, -111.9380591 33.4218402, -111.9381441 33.421823, -111.938242 33.4218221, -111.9398225 33.4218198, -111.9398538 33.4218932, -111.9398951 33.4219382, -111.939939 33.4219028, -111.9400803 33.4219289, -111.940079 33.42197849999999, -111.9400741 33.4225274, -111.9400687 33.4231956, -111.9414688 33.4238299, -111.9412691 33.4243385, -111.942677 33.4242646, -111.9432183 33.4242317, -111.9433507 33.4249452, -111.943347 33.4254811, -111.9434356 33.42545689999999, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146)"
23,3284,196,1,12,3284,2784,6619,196;1236;1720;4056;1234;1235;1237;1782;1781;2141;2140;762;2139;2138;2137;2121;2120;251;3630;1312;1310;3637;3638;1311;3639;3904;3627;3628;3399;3906;108;3883;1110;107;1268;856;1313;1314;1292;48;3921;232;3772;366;233;3236;3;3153;4;1285;2782;2780;2781;2784;3284;,"LINESTRING (-111.9316695 33.4183576, -111.9313989 33.4183647, -111.9313979 33.4182575, -111.9313966 33.41820999999999, -111.9313904 33.4174105, -111.9301745 33.4173982, -111.9300852 33.41665560000001, -111.9300598 33.41616339999999, -111.9302774 33.4159081, -111.9307854 33.4148868, -111.9327065 33.41486939999999, -111.932811 33.414864, -111.9348578 33.41482199999999, -111.9349563 33.4148208, -111.935056 33.4148208, -111.9364706 33.4148089, -111.9366078 33.41481, -111.9366081 33.4147406, -111.9366107 33.4147098, -111.9366107 33.4146446, -111.9382691 33.4149393, -111.9395182 33.4159159, -111.9395692 33.4159864, -111.9399531 33.4174545, -111.9399555 33.4176243, -111.9399572 33.4177097, -111.9399806 33.4190558, -111.9399908 33.4204925, -111.9400587 33.42183069999999, -111.9400823 33.4218803, -111.9400803 33.4219289, -111.940079 33.42197849999999, -111.9400741 33.4225274, -111.9400687 33.4231956, -111.9414688 33.4238299, -111.9412691 33.4243385, -111.942677 33.4242646, -111.9432183 33.4242317, -111.9433507 33.4249452, -111.943347 33.4254811, -111.9434356 33.42545689999999, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9452165 33.4294497, -111.9453641 33.4305477)"
