name,link_id,osm_way_id,from_node_id,to_node_id,from_node_osm_id,to_node_osm_id,allowed_uses,electrified,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
UP Phoenix Subdivision,19,28821383,9,88,42556278,2300341740,railway,no,,,,,,,,,,,1435,,25.00624899,"LINESTRING(-111.9435156 33.4144996, -111.9435395 33.4147236)"
UP Phoenix Subdivision,20,28821383,88,89,2300341740,2300341760,railway,no,,,,,,,,,,,1435,,9.442640674,"LINESTRING(-111.9435395 33.4147236, -111.9435449 33.4148084)"
UP Phoenix Subdivision,21,28821383,89,90,2300341760,2300341811,railway,no,,,,,,,,,,,1435,,21.17184142,"LINESTRING(-111.9435449 33.4148084, -111.9435524 33.4149987)"
UP Phoenix Subdivision,22,28821383,90,93,2300341811,2300341819,railway,no,,,,,,,,,,,1435,,41.13155734,"LINESTRING(-111.9435524 33.4149987, -111.9435547 33.4153686)"
UP Phoenix Subdivision,23,28821383,93,94,2300341819,2300341821,railway,no,,,,,,,,,,,1435,,35.41585778,"LINESTRING(-111.9435547 33.4153686, -111.9435562 33.4156871)"
UP Phoenix Subdivision,24,28821384,18,19,316007381,316007382,railway,no,,,,,,,,,,,1435,,32.34657148,"LINESTRING(-111.9397133 33.4109717, -111.9400502 33.4110461)"
UP Phoenix Subdivision,25,28878719,28,5,317445522,42556227,railway,no,,,,,,,,,,,1435,,35.57846048,"LINESTRING(-111.9089209 33.4110434, -111.9093042 33.4110411)"
UP Phoenix Subdivision,26,28880913,2,3,42556211,42556214,railway,,,,,,,,,,,,,,10.35859466,"LINESTRING(-111.8918839 33.4111357, -111.8919955 33.4111357)"
UP Phoenix Subdivision,27,28880913,3,4,42556214,42556217,railway,,,,,,,,,,,,,,448.7275505,"LINESTRING(-111.8919955 33.4111357, -111.8968296 33.411088)"
UP Phoenix Subdivision,28,28880913,4,41,42556217,338494495,railway,,,,,,,,,,,,,,341.0011187,"LINESTRING(-111.8968296 33.411088, -111.9005034 33.4110759)"
