o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
2,A2,27,Gate2,2.0645302188586725,29,"LINESTRING (-111.9350544 33.4298792,-111.9509529 33.41556)"
2,A2,28,Gate3,1.7929794173199978,30,"LINESTRING (-111.9350544 33.4298792,-111.9509529 33.42026)"
2,A2,29,Gate4,1.6058005166594098,42,"LINESTRING (-111.9350544 33.4298792,-111.9509529 33.42496)"
2,A2,30,Gate5,1.5341920837014,11,"LINESTRING (-111.9350544 33.4298792,-111.9509529 33.42966)"
2,A2,31,Gate6,0.8911726862518324,51,"LINESTRING (-111.9350544 33.4298792,-111.9431329 33.4343558)"
2,A2,32,Gate7,0.4326653120988546,106,"LINESTRING (-111.9350544 33.4298792,-111.9353129 33.4343558)"
2,A2,33,Gate8,0.8478836156164705,44,"LINESTRING (-111.9350544 33.4298792,-111.9274929 33.4343558)"
2,A2,34,Gate9,1.545739569506248,11,"LINESTRING (-111.9350544 33.4298792,-111.9196729 33.4343558)"
2,A2,35,Gate10,2.2800025977179996,13,"LINESTRING (-111.9350544 33.4298792,-111.9118529 33.4343558)"
2,A2,36,Gate11,2.9936219744868846,10,"LINESTRING (-111.9350544 33.4298792,-111.90403 33.4296558)"
2,A2,37,Gate12,3.031004791678797,9,"LINESTRING (-111.9350544 33.4298792,-111.90403 33.4249558)"
2,A2,38,Gate13,3.1342523048163895,20,"LINESTRING (-111.9350544 33.4298792,-111.90403 33.4202558)"
2,A2,39,Gate14,3.2971828756275894,24,"LINESTRING (-111.9350544 33.4298792,-111.90403 33.4155558)"
2,A2,40,Gate15,3.5114985778773624,10,"LINESTRING (-111.9350544 33.4298792,-111.90403 33.4108558)"
2,A2,41,Gate16,3.201731444171369,14,"LINESTRING (-111.9350544 33.4298792,-111.91185 33.40616)"
2,A2,42,Gate17,2.7279224572633507,57,"LINESTRING (-111.9350544 33.4298792,-111.91967 33.40616)"
2,A2,43,Gate18,2.4022353054721757,78,"LINESTRING (-111.9350544 33.4298792,-111.92749 33.40616)"
2,A2,44,Gate19,2.288799866882508,28,"LINESTRING (-111.9350544 33.4298792,-111.93531 33.40616)"
2,A2,45,Gate20,2.41767905979909,17,"LINESTRING (-111.9350544 33.4298792,-111.94313 33.40616)"
3,A3,1,A1,1.517811738076761,1,"LINESTRING (-111.9283706 33.4284203,-111.9440655 33.4294742)"
3,A3,2,A2,0.66010795169535,1,"LINESTRING (-111.9283706 33.4284203,-111.9350544 33.4298792)"
3,A3,3,A3,0.0,0,"LINESTRING (-111.9283706 33.4284203,-111.9283706 33.4284203)"
3,A3,4,A4,0.6013198970564987,1,"LINESTRING (-111.9283706 33.4284203,-111.9221543 33.4279785)"
3,A3,5,A5,1.9448353149928364,1,"LINESTRING (-111.9283706 33.4284203,-111.9083615 33.4308479)"
3,A3,6,B1,1.3854207095288114,2,"LINESTRING (-111.9283706 33.4284203,-111.9423009 33.4249415)"
3,A3,7,B2,0.8747385215097684,2,"LINESTRING (-111.9283706 33.4284203,-111.9365459 33.4245026)"
3,A3,8,B3,0.40247120706804496,1,"LINESTRING (-111.9283706 33.4284203,-111.927787 33.4242902)"
3,A3,9,B4,0.8760934614409025,1,"LINESTRING (-111.9283706 33.4284203,-111.9205792 33.4237583)"
3,A3,10,B5,1.6462275695159987,1,"LINESTRING (-111.9283706 33.4284203,-111.9118167 33.4242909)"
3,A3,11,C1,1.527810234006483,2,"LINESTRING (-111.9283706 33.4284203,-111.9420148 33.4203862)"
3,A3,12,C2,1.0312420670399725,3,"LINESTRING (-111.9283706 33.4284203,-111.9353199 33.4203006)"
3,A3,13,C3,0.7669027441966283,2,"LINESTRING (-111.9283706 33.4284203,-111.9281869 33.4204744)"
3,A3,14,C4,1.1454627450729662,1,"LINESTRING (-111.9283706 33.4284203,-111.9199398 33.4200627)"
3,A3,15,C5,1.8132878171763769,1,"LINESTRING (-111.9283706 33.4284203,-111.9117545 33.4196417)"
3,A3,16,D1,1.8337933792912822,1,"LINESTRING (-111.9283706 33.4284203,-111.9427358 33.4159773)"
3,A3,17,D2,1.378640873024854,2,"LINESTRING (-111.9283706 33.4284203,-111.9353753 33.4159673)"
3,A3,18,D3,1.2165310768050885,2,"LINESTRING (-111.9283706 33.4284203,-111.9270781 33.4158789)"
3,A3,19,D4,1.422259722535696,1,"LINESTRING (-111.9283706 33.4284203,-111.9202895 33.416093)"
3,A3,20,D5,2.035549227136563,1,"LINESTRING (-111.9283706 33.4284203,-111.9116435 33.4155655)"
3,A3,21,E1,2.1910167854208527,1,"LINESTRING (-111.9283706 33.4284203,-111.9428061 33.4108923)"
3,A3,22,E2,1.881661835789397,1,"LINESTRING (-111.9283706 33.4284203,-111.934858 33.41003)"
3,A3,23,E3,1.6683208191221666,1,"LINESTRING (-111.9283706 33.4284203,-111.9274186 33.4111565)"
3,A3,24,E4,1.8462655368850185,1,"LINESTRING (-111.9283706 33.4284203,-111.9194041 33.411517)"
3,A3,25,E5,2.3698230933289155,1,"LINESTRING (-111.9283706 33.4284203,-111.9112236 33.4108366)"
3,A3,26,Gate1,2.7602333039598608,13,"LINESTRING (-111.9283706 33.4284203,-111.9509529 33.41086)"
3,A3,27,Gate2,2.5075337970372615,21,"LINESTRING (-111.9283706 33.4284203,-111.9509529 33.41556)"
3,A3,28,Gate3,2.3168714975796547,21,"LINESTRING (-111.9283706 33.4284203,-111.9509529 33.42026)"
3,A3,29,Gate4,2.204402701714871,30,"LINESTRING (-111.9283706 33.4284203,-111.9509529 33.42496)"
3,A3,30,Gate5,2.182250890336994,8,"LINESTRING (-111.9283706 33.4284203,-111.9509529 33.42966)"
3,A3,31,Gate6,1.5352423048128772,36,"LINESTRING (-111.9283706 33.4284203,-111.9431329 33.4343558)"
3,A3,32,Gate7,0.8813186128661461,77,"LINESTRING (-111.9283706 33.4284203,-111.9353129 33.4343558)"
3,A3,33,Gate8,0.578941187032751,35,"LINESTRING (-111.9283706 33.4284203,-111.9274929 33.4343558)"
3,A3,34,Gate9,1.0160315627335188,9,"LINESTRING (-111.9283706 33.4284203,-111.9196729 33.4343558)"
