name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,4423,544286108,1530,1839,1,68.46476401,,,0,footway,9,"LINESTRING (-111.9309967 33.423822, -111.9308597 33.4238282, -111.9307358 33.4238532, -111.9306123 33.4238879, -111.9305 33.4239383, -111.9303321 33.4240507)",walk,0
,4424,544286108,1839,2347,1,46.54062314,,,0,footway,9,"LINESTRING (-111.9303321 33.4240507, -111.9303004 33.4240741, -111.9301879 33.4242232, -111.9301486 33.4243036, -111.9301262 33.4243761, -111.9301188 33.424421)",walk,0
,4425,544286108,2347,2345,1,22.65960355,,,0,footway,9,"LINESTRING (-111.9301188 33.424421, -111.9300994 33.4245198, -111.9301064 33.4246233)",walk,0
,4426,544286108,2345,1531,1,9.215938928,,,0,footway,9,"LINESTRING (-111.9301064 33.4246233, -111.93012 33.4247054)",walk,0
,4427,544286108,1531,2340,1,213.3209427,,,0,footway,9,"LINESTRING (-111.93012 33.4247054, -111.9302074 33.4248756, -111.9304023 33.4249942, -111.930688 33.425066, -111.9308975 33.4250831, -111.9311146 33.4250814, -111.931259 33.425063, -111.931625 33.4249863, -111.9317674 33.4248903, -111.9318558 33.4247978, -111.9319292 33.4246833, -111.9319523 33.4245972)",walk,0
,4428,544286108,2340,2339,1,23.55478193,,,0,footway,9,"LINESTRING (-111.9319523 33.4245972, -111.9319667 33.4245433, -111.9319658 33.4244647, -111.9319423 33.4243892)",walk,0
,4429,544286108,2339,1532,1,4.649943281,,,0,footway,9,"LINESTRING (-111.9319423 33.4243892, -111.9319273 33.4243493)",walk,0
,4430,544286108,1532,1837,1,59.74486757,,,0,footway,9,"LINESTRING (-111.9319273 33.4243493, -111.9318143 33.4241786, -111.9317394 33.4240889, -111.9316424 33.4240084, -111.9315294 33.4239362)",walk,0
,4431,544286108,1837,1530,1,51.63842036,,,0,footway,9,"LINESTRING (-111.9315294 33.4239362, -111.9313968 33.4238788, -111.9311589 33.4238321, -111.9309967 33.423822)",walk,0
,4432,544286109,1531,1533,1,71.10996828,,,0,footway,9,"LINESTRING (-111.93012 33.4247054, -111.9300796 33.4246635, -111.9300617 33.4246122, -111.9300472 33.4244217, -111.9300277 33.4243245, -111.929912 33.4242229, -111.9298197 33.424155)",walk,0
,4433,544286110,1534,1844,1,10.71137599,,,0,footway,9,"LINESTRING (-111.9292269 33.4243584, -111.9293363 33.4243277)",walk,0
,4434,544286110,1844,1533,1,48.79918043,,,0,footway,9,"LINESTRING (-111.9293363 33.4243277, -111.9298197 33.424155)",walk,0
,4435,544286110,1533,1535,1,45.34817036,,,0,footway,9,"LINESTRING (-111.9298197 33.424155, -111.9302656 33.4239882)",walk,0
,4436,544286110,1535,2349,1,68.26814674,,,0,footway,9,"LINESTRING (-111.9302656 33.4239882, -111.930354 33.4239043, -111.9304113 33.4238018, -111.9304647 33.4234655, -111.9304752 33.4234164)",walk,0
,4437,544286110,2349,1536,1,11.63691453,,,0,footway,9,"LINESTRING (-111.9304752 33.4234164, -111.9304974 33.4233134)",walk,0
,4438,544286110,1536,1528,1,49.05690125,,,0,footway,9,"LINESTRING (-111.9304974 33.4233134, -111.9305338 33.4233012, -111.930577 33.4233012, -111.9307359 33.4233516, -111.9309896 33.4234427)",walk,0
,4439,544286110,1528,2057,1,119.7101953,,,0,footway,9,"LINESTRING (-111.9309896 33.4234427, -111.9312108 33.4235428, -111.9315626 33.4237966, -111.9319629 33.4241391)",walk,0
,4440,544286110,2057,1537,1,5.235661468,,,0,footway,9,"LINESTRING (-111.9319629 33.4241391, -111.9320023 33.4241728)",walk,0
