link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
11995,Peckham Road,291888931,7028,5586,1,"LINESTRING (-0.0748166 51.4741975, -0.0750592 51.4742447)",1,17.60,trunk,2,32,,,auto,
11996,Peckham Road,291888931,941,7029,1,"LINESTRING (-0.0723129 51.4735331, -0.0724811 51.473562, -0.0728017 51.4736333, -0.0730037 51.4736897, -0.0732763 51.4737647, -0.0735495 51.4738423, -0.0738015 51.4739143, -0.0744767 51.474122, -0.0747324 51.4741804)",1,182.65,trunk,2,32,,,auto,
11997,Peckham Road,291888931,7029,7028,1,"LINESTRING (-0.0747324 51.4741804, -0.0747885 51.4741919, -0.0748026 51.4741948, -0.0748166 51.4741975)",1,6.13,trunk,2,32,,,auto,
11998,Millbank,293331080,7030,5463,1,"LINESTRING (-0.1251719 51.4943148, -0.1251881 51.4941597, -0.1251753 51.4939917, -0.1251527 51.4938262, -0.1251397 51.4935128, -0.1251391 51.4934536, -0.1251374 51.4932985)",1,113.14,primary,3,32,,,auto,
11999,Queenstown Road,293332368,6338,7031,1,"LINESTRING (-0.1485694 51.4784044, -0.1485516 51.4783369)",1,7.61,primary,3,32,,,auto,
12000,Queenstown Road,293332368,7031,6796,1,"LINESTRING (-0.1485516 51.4783369, -0.1485536 51.4782881, -0.1484835 51.4782273)",1,13.75,primary,3,32,,,auto,
12001,Galway Close,293714513,2790,7032,1,"LINESTRING (-0.0603051 51.4869212, -0.0602798 51.4866534)",1,29.83,residential,6,32,,,auto,
12002,Galway Close,293714513,7032,2790,1,"LINESTRING (-0.0602798 51.4866534, -0.0603051 51.4869212)",1,29.83,residential,6,32,,,auto,
12003,St Davids Close,293714515,2789,7033,1,"LINESTRING (-0.0598394 51.4869447, -0.0597969 51.4866892)",1,28.56,residential,6,32,,,auto,
12004,St Davids Close,293714515,7033,2789,1,"LINESTRING (-0.0597969 51.4866892, -0.0598394 51.4869447)",1,28.56,residential,6,32,,,auto,
