name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,253,25306032,,-0.1381945,51.4951336,,,,,
,254,108322,,-0.1392656,51.4969639,,,,,
,255,1334476163,,-0.1392486,51.4969170,,,,,
,256,25276303,,-0.1406305,51.4959200,,,,,
,257,25077809,,-0.1392106,51.4944782,,,,,
,258,25150609,,-0.0717786,51.4643602,,,,,
,259,21316640,,-0.0693644,51.4667146,,,,,
,260,25340447,,-0.0691303,51.4658988,,,,,
,261,21316639,,-0.0688419,51.4648987,,,,,
,262,25340363,,-0.0698638,51.4654525,,,,,
,263,25340360,,-0.0700762,51.4661252,,,,,
,264,7836288472,,-0.0701936,51.4665413,,,,,
,265,21316632,,-0.0696418,51.4647627,,,,,
,266,25340330,,-0.0683149,51.4660458,,,,,
,267,25150699,,-0.0730343,51.4666286,,,,,
,268,25150698,,-0.0727425,51.4663518,,,,,
,269,25150752,,-0.0725487,51.4659957,,,,,
,270,25150613,,-0.0724506,51.4658010,,,,,
,271,25150610,,-0.0720874,51.4650501,,,,,
,272,25150612,,-0.0707160,51.4660040,,,,,
,273,30794712,,-0.0711488,51.4659136,,,,,
,274,25150611,,-0.0723940,51.4656891,,,,,
,275,7836327189,,-0.0699770,51.4665907,,,,,
,276,25340347,,-0.0708960,51.4663926,,,,,
,277,21316638,,-0.0690418,51.4667811,,,,,
,278,7836288479,,-0.0690783,51.4668799,,,,,
,279,25150751,,-0.0724348,51.4674372,,,,,
,280,7836327195,,-0.0722791,51.4674628,,,,,
,281,21316635,,-0.0705028,51.4677332,,,,,
,282,25340459,,-0.0685724,51.4668612,,,,,
,283,25340370,,-0.0710829,51.4667275,,,,,
,284,25340371,,-0.0714873,51.4675929,,,,,
,285,21316630,,-0.0703922,51.4639586,,,,,
,286,25150602,,-0.0712502,51.4638111,,,,,
,287,21316631,,-0.0687625,51.4642599,,,,,
,288,9261991138,signal,-0.0716539,51.4613658,,,,,
,289,25500546,,-0.0751382,51.4607656,,,,,
,290,21316628,,-0.0693491,51.4619540,,,,,
,291,25150790,,-0.0697566,51.4625393,,,,,
,292,25150603,,-0.0706215,51.4623340,,,,,
,293,25150604,,-0.0709512,51.4622440,,,,,
