o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
3,A3,29,C9,2.1305443894264053,"LINESTRING (13.1928876 52.5555907,13.2225432 52.5477739)"
3,A3,30,C10,2.3507392593279097,"LINESTRING (13.1928876 52.5555907,13.2256429 52.5470988)"
3,A3,31,D1,1.0843934426663642,"LINESTRING (13.1928876 52.5555907,13.1840595 52.5427174)"
3,A3,32,D2,0.9395283050666813,"LINESTRING (13.1928876 52.5555907,13.1872463 52.5432992)"
3,A3,33,D3,0.9117212352876974,"LINESTRING (13.1928876 52.5555907,13.1927723 52.5424672)"
3,A3,34,D4,0.9681386497490826,"LINESTRING (13.1928876 52.5555907,13.1979796 52.5426182)"
3,A3,35,D5,1.0997294342802608,"LINESTRING (13.1928876 52.5555907,13.2025417 52.543045)"
3,A3,36,D6,1.3060743826735646,"LINESTRING (13.1928876 52.5555907,13.2071003 52.5432838)"
3,A3,37,D7,1.6599358543733813,"LINESTRING (13.1928876 52.5555907,13.2124087 52.5418116)"
3,A3,38,D8,2.020969314312105,"LINESTRING (13.1928876 52.5555907,13.21772 52.5404364)"
3,A3,39,D9,2.2732476744582852,"LINESTRING (13.1928876 52.5555907,13.2226372 52.5419621)"
3,A3,40,D10,2.4604271608324417,"LINESTRING (13.1928876 52.5555907,13.2256983 52.5422555)"
4,A4,1,A1,0.9220055432040839,"LINESTRING (13.1976345 52.5556169,13.184365 52.5558743)"
4,A4,2,A2,0.605806540398819,"LINESTRING (13.1976345 52.5556169,13.1889152 52.5554778)"
4,A4,3,A3,0.3297752769751603,"LINESTRING (13.1976345 52.5556169,13.1928876 52.5555907)"
4,A4,4,A4,0.0,"LINESTRING (13.1976345 52.5556169,13.1976345 52.5556169)"
4,A4,5,A5,0.3471965871069263,"LINESTRING (13.1976345 52.5556169,13.2026323 52.555621)"
4,A4,6,A6,0.6438564269933682,"LINESTRING (13.1976345 52.5556169,13.2069026 52.555611)"
4,A4,7,A7,1.0187811630126464,"LINESTRING (13.1976345 52.5556169,13.2122995 52.5556031)"
4,A4,8,A8,1.3947305810476682,"LINESTRING (13.1976345 52.5556169,13.2177111 52.555538)"
4,A4,9,A9,1.6736381893472803,"LINESTRING (13.1976345 52.5556169,13.2217235 52.5552714)"
4,A4,10,A10,1.9475743907112215,"LINESTRING (13.1976345 52.5556169,13.2256692 52.5556722)"
4,A4,11,B1,1.0000664001506585,"LINESTRING (13.1976345 52.5556169,13.1838823 52.5513612)"
4,A4,12,B2,0.731455226727946,"LINESTRING (13.1976345 52.5556169,13.1877558 52.5519738)"
4,A4,13,B3,0.38512024584900045,"LINESTRING (13.1976345 52.5556169,13.1931628 52.5523402)"
4,A4,14,B4,0.2604237322606289,"LINESTRING (13.1976345 52.5556169,13.1975354 52.5518695)"
4,A4,15,B5,0.4195465617209061,"LINESTRING (13.1976345 52.5556169,13.2020792 52.5515283)"
4,A4,16,B6,0.7724373901654407,"LINESTRING (13.1976345 52.5556169,13.2082298 52.5522446)"
4,A4,17,B7,1.0167916629826508,"LINESTRING (13.1976345 52.5556169,13.2119786 52.5527064)"
4,A4,18,B8,1.3762574579461664,"LINESTRING (13.1976345 52.5556169,13.2171456 52.5521837)"
4,A4,19,B9,1.706672983825977,"LINESTRING (13.1976345 52.5556169,13.2221629 52.5542396)"
4,A4,20,B10,1.9577478158232071,"LINESTRING (13.1976345 52.5556169,13.225601 52.5521452)"
4,A4,21,C1,1.154748683767798,"LINESTRING (13.1976345 52.5556169,13.1837045 52.5465474)"
4,A4,22,C2,0.9162332253127403,"LINESTRING (13.1976345 52.5556169,13.1876311 52.5470216)"
4,A4,23,C3,0.692087689490899,"LINESTRING (13.1976345 52.5556169,13.1922758 52.5472185)"
4,A4,24,C4,0.557528549624912,"LINESTRING (13.1976345 52.5556169,13.1978552 52.5475945)"
4,A4,25,C5,0.659486412850441,"LINESTRING (13.1976345 52.5556169,13.2023174 52.5473592)"
4,A4,26,C6,0.8662237505499082,"LINESTRING (13.1976345 52.5556169,13.207515 52.5480108)"
4,A4,27,C7,1.0975061201151692,"LINESTRING (13.1976345 52.5556169,13.2116045 52.5482397)"
4,A4,28,C8,1.5116615134322076,"LINESTRING (13.1976345 52.5556169,13.2182015 52.548511)"
4,A4,29,C9,1.814161371473131,"LINESTRING (13.1976345 52.5556169,13.2225432 52.5477739)"
4,A4,30,C10,2.0337369830835064,"LINESTRING (13.1976345 52.5556169,13.2256429 52.5470988)"
4,A4,31,D1,1.300927544094516,"LINESTRING (13.1976345 52.5556169,13.1840595 52.5427174)"
4,A4,32,D2,1.1193991568210802,"LINESTRING (13.1976345 52.5556169,13.1872463 52.5432992)"
4,A4,33,D3,0.9739574003826059,"LINESTRING (13.1976345 52.5556169,13.1927723 52.5424672)"
4,A4,34,D4,0.9033392485570617,"LINESTRING (13.1976345 52.5556169,13.1979796 52.5426182)"
4,A4,35,D5,0.9375495427518215,"LINESTRING (13.1976345 52.5556169,13.2025417 52.543045)"
4,A4,36,D6,1.0800464722344782,"LINESTRING (13.1976345 52.5556169,13.2071003 52.5432838)"
4,A4,37,D7,1.404708555761305,"LINESTRING (13.1976345 52.5556169,13.2124087 52.5418116)"
4,A4,38,D8,1.7490371791105823,"LINESTRING (13.1976345 52.5556169,13.21772 52.5404364)"
4,A4,39,D9,1.9790868630282072,"LINESTRING (13.1976345 52.5556169,13.2226372 52.5419621)"
4,A4,40,D10,2.159282584310128,"LINESTRING (13.1976345 52.5556169,13.2256983 52.5422555)"
5,A5,1,A1,1.2691506218515753,"LINESTRING (13.2026323 52.555621,13.184365 52.5558743)"
5,A5,2,A2,0.9529778283879654,"LINESTRING (13.2026323 52.555621,13.1889152 52.5554778)"
5,A5,3,A3,0.6769699837360894,"LINESTRING (13.2026323 52.555621,13.1928876 52.5555907)"
